Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,GUNDI,DATTOJIPET,2,COMMERCIAL,22,21,1428,46
MAHABUBABAD,MAHABUBABAD,GUDUR,AYODHYAPURAM,PATIMIDI THANDA,2,COMMERCIAL,3,3,143,4.25
MAHABUBABAD,MAHABUBABAD,GUDUR,AYODHYAPURAM,PONUGODU,2,COMMERCIAL,37,28,1360,58.96
MAHABUBABAD,MAHABUBABAD,GUDUR,AYODHYAPURAM,RAJANPALLY,2,COMMERCIAL,8,8,106,11.18
MAHABUBABAD,MAHABUBABAD,GUDUR,AYODHYAPURAM,RAMULA THANDA,2,COMMERCIAL,9,8,474,17.24
MAHABUBABAD,MAHABUBABAD,GUDUR,AYODHYAPURAM,THEEGALVENI,2,COMMERCIAL,18,16,7454,61.33
MAHABUBABAD,MAHABUBABAD,GUDUR,AYODHYAPURAM,THEJAVATHRAMSINGH THANDA,2,COMMERCIAL,3,3,38,3
MAHABUBABAD,MAHABUBABAD,GUDUR,GUDUR,BANDALAGADDA,2,COMMERCIAL,2,2,23,4
MAHABUBABAD,MAHABUBABAD,GUDUR,GUDUR,BHUPATHIPET,2,COMMERCIAL,43,37,7851,84.4
MAHABUBABAD,MAHABUBABAD,GUDUR,GUDUR,BRAHAMANAPALLY,2,COMMERCIAL,21,17,733,37.34
MAHABUBABAD,MAHABUBABAD,GUDUR,GUDUR,BUDDUGONDA,2,COMMERCIAL,37,30,8504,71.41
MAHABUBABAD,MAHABUBABAD,KORIVI,GARLA,RAMA PURAM-GAR,2,COMMERCIAL,14,12,3361,37.22
MAHABUBABAD,MAHABUBABAD,KORIVI,GARLA,S B THANDA-GAR,2,COMMERCIAL,9,7,303,14.26
MAHABUBABAD,MAHABUBABAD,KORIVI,GARLA,S N PURAM-GAR,2,COMMERCIAL,28,21,671,55.37
MAHABUBABAD,MAHABUBABAD,KORIVI,GARLA,SEETHAM PETA-GAR,2,COMMERCIAL,38,33,3084,55.06
MAHABUBABAD,MAHABUBABAD,KORIVI,GARLA,SIRI PURAM-GAR,2,COMMERCIAL,11,11,259,21.17
MAHABUBABAD,MAHABUBABAD,KORIVI,GARLA,THIRLA PURAM-GAR,2,COMMERCIAL,9,6,808,13.02
MAHABUBABAD,MAHABUBABAD,KORIVI,GARLA,V P THANDA-GAR,2,COMMERCIAL,1,1,0,1
MAHABUBABAD,MAHABUBABAD,KORIVI,GARLA,VASARAM THANDA- GA,2,COMMERCIAL,1,1,7,0.25
MAHABUBABAD,MAHABUBABAD,KORIVI,GARLA,VEDANAYAKA PURAM-GAR,2,COMMERCIAL,1,1,7,1
MAHABUBABAD,MAHABUBABAD,KORIVI,KORIVI,AYYAGARIPALLI,2,COMMERCIAL,26,23,2240,106.77
MAHABUBABAD,MAHABUBABAD,KORIVI,KORIVI,BALAPALA,2,COMMERCIAL,72,56,7991,118.65
MAHABUBABAD,THORRUR,MARIPEDA,CHINNA GUDURU,THUMMALACHERVU THANDA,2,COMMERCIAL,2,1,64,3
